weight_dvdl,dvdl,Run,Lambda
9.020764102000001,382.3978,1,1
8.895796077,377.1003,1,1
8.267141449,350.4511,1,1
8.87481749,376.211,1,1
8.866473707,375.8573,1,1
9.261962416000001,392.6224,1,1
8.627238081,365.7159,1,1
8.868915272,375.9608,1,1
8.752239132,371.0148,1,1
8.568458878,363.2242,1,1
8.747462157,370.8123,1,1
8.960545909,379.8451,1,1
8.627183824,365.7136,1,1
8.873133163999999,376.1396,1,1
8.951515657,379.4623,1,1
8.538827479,361.9681,1,1
8.679994757,367.9523,1,1
8.813643901999999,373.6178,1,1
8.84606128,374.992,1,1
8.818229798,373.8122,1,1
8.59329443,364.277,1,1
8.638061172999999,366.1747,1,1
8.746108091,370.7549,1,1
8.613277519,365.1241,1,1
8.819539043,373.8677,1,1
8.63476565,366.035,1,1
8.544916058,362.2262,1,1
9.096863082999999,385.6237,1,1
8.73693394,370.366,1,1
9.297538495,394.1305,1,1
8.975148119,380.4641,1,1
9.369058657,397.1623,1,1
8.572450306,363.3934,1,1
8.746853535,370.7865,1,1
9.064641501999999,384.2578,1,1
8.606143903000001,364.8217,1,1
8.1798325,346.75,1,1
8.915566856,377.9384,1,1
9.138383842,387.3838,1,1
8.645919002,366.5078,1,1
8.37827158,355.162,1,1
8.696797914,368.6646,1,1
8.940237278,378.9842,1,1
8.987594202999999,380.9917,1,1
8.767563196,371.6644,1,1
8.44257792,357.888,1,1
8.527214122,361.4758,1,1
8.391762701,355.7339,1,1
8.877471365,376.3235,1,1
8.791372583,372.6737,1,1
8.728826057,370.0223,1,1
8.65349611,366.829,1,1
8.579977874999999,363.7125,1,1
8.695167845,368.5955,1,1
8.716891876,369.5164,1,1
8.880983916,376.4724,1,1
8.591584155,364.2045,1,1
8.739526481,370.4759,1,1
8.502982474,360.4486,1,1
8.784706049,372.3911,1,1
9.274830760999999,393.1679,1,1
8.551518899,362.5061,1,1
8.470190015,359.0585,1,1
8.37336486,354.954,1,1
8.652052402,366.7678,1,1
9.142120497999999,387.5422,1,1
9.002286055,381.6145,1,1
8.579763205999999,363.7034,1,1
8.828262625,374.2375,1,1
8.79215813,372.707,1,1
8.548235171,362.3669,1,1
8.316392651000001,352.5389,1,1
8.932228473,378.6447,1,1
8.691089134,368.4226,1,1
8.980038326,380.6714,1,1
8.896359878,377.1242,1,1
9.229625244,391.2516,1,1
8.965964532,380.0748,1,1
8.402552767,356.1913,1,1
8.648315746,366.6094,1,1
8.664130482000001,367.2798,1,1
8.751406404999999,370.9795,1,1
8.768839415,371.7185,1,1
8.973430767,380.3913,1,1
8.89734594,377.166,1,1
8.605171995000001,364.7805,1,1
8.527400483,361.4837,1,1
8.647140964,366.5596,1,1
9.129450309000001,387.0051,1,1
8.919091202,378.0878,1,1
8.656801069,366.9691,1,1
8.690117226,368.3814,1,1
8.567057632000001,363.1648,1,1
8.728689235000001,370.0165,1,1
8.546550845,362.2955,1,1
8.9479229,379.31,1,1
8.655279514,366.9046,1,1
8.230871824,348.9136,1,1
8.296317561,351.6879,1,1
8.919695106,378.1134,1,1
9.038515577,383.1503,1,1
8.945167588,379.1932,1,1
8.731687524,370.1436,1,1
8.709071791000001,369.1849,1,1
8.865886316000001,375.8324,1,1
8.632017415,365.9185,1,1
8.510167988,360.7532,1,1
8.648907855,366.6345,1,1
8.727750353,369.9767,1,1
8.443257312,357.9168,1,1
8.41297247,356.633,1,1
8.798053271,372.9569,1,1
8.58598153,363.967,1,1
8.659799358,367.0962,1,1
8.856634318,375.4402,1,1
8.828760374,374.2586,1,1
8.990344796999999,381.1083,1,1
8.79562586,372.854,1,1
8.247851906,349.6334,1,1
8.732081477,370.1603,1,1
8.826682095,374.1705,1,1
8.61940856,365.384,1,1
8.561853678,362.9442,1,1
8.750844962999999,370.9557,1,1
8.801336999,373.0961,1,1
8.891710289,376.9271,1,1
8.863539111,375.7329,1,1
8.612081505999999,365.0734,1,1
8.300712378,351.8742,1,1
8.88099807,376.473,1,1
8.671056506,367.5734,1,1
8.802589628,373.1492,1,1
8.762547962,371.4518,1,1
8.506115225999999,360.5814,1,1
8.948113979,379.3181,1,1
8.680898253999999,367.9906,1,1
8.833480733,374.4587,1,1
8.744296379,370.6781,1,1
8.603065407999999,364.6912,1,1
9.361943913,396.8607,1,1
8.500446549,360.3411,1,1
8.487231431,359.7809,1,1
8.972100291,380.3349,1,1
9.169834029999999,388.717,1,1
8.84313612,374.868,1,1
8.49011177,359.903,1,1
9.200305233,390.0087,1,1
8.666843332,367.3948,1,1
8.483242362,359.6118,1,1
8.541545047,362.0833,1,1
8.661537940999999,367.1699,1,1
8.296006172999999,351.6747,1,1
8.945955494,379.2266,1,1
8.607231402,364.8678,1,1
8.709291178,369.1942,1,1
8.43623221,357.619,1,1
8.700987498,368.8422,1,1
8.981776908999999,380.7451,1,1
8.999719463,381.5057,1,1
9.194093986,389.7454,1,1
8.990391977,381.1103,1,1
8.597797760999999,364.4679,1,1
8.668744686,367.4754,1,1
9.07915407,384.873,1,1
8.428381458,357.2862,1,1
8.601402313,364.6207,1,1
8.637318087999999,366.1432,1,1
9.095612812999999,385.5707,1,1
8.515702202,360.9878,1,1
8.27001707,350.573,1,1
8.484263809,359.6551,1,1
8.797888141,372.9499,1,1
8.484369964,359.6596,1,1
8.963018141000001,379.9499,1,1
8.684757578,368.1542,1,1
8.656178293,366.9427,1,1
8.863145158,375.7162,1,1
8.86125324,375.636,1,1
8.651776399,366.7561,1,1
8.701121961,368.8479,1,1
8.677081392,367.8288,1,1
8.423856896,357.0944,1,1
8.596443695,364.4105,1,1
8.679692805,367.9395,1,1
8.801242639,373.0921,1,1
8.850498559,375.1801,1,1
8.900143714,377.2846,1,1
8.783993631,372.3609,1,1
8.398844419000001,356.0341,1,1
8.804427289,373.2271,1,1
8.418292015,356.8585,1,1
9.088191399,385.2561,1,1
8.3758654,355.06,1,1
8.654689763999999,366.8796,1,1
8.831661944,374.3816,1,1
9.008141093,381.8627,1,1
8.787909571,372.5269,1,1
8.677767861,367.8579,1,1
8.862369047,375.6833,1,1
8.443141721,357.9119,1,1
20.801396671,389.0293,1,2
20.337009720999998,380.3443,1,2
19.597284353,366.5099,1,2
20.30159654,379.682,1,2
21.324140779,398.8057,1,2
20.173562625,377.2875,1,2
21.246202906999997,397.3481,1,2
20.651033683999998,386.2172,1,2
20.372823927,381.0141,1,2
19.853598145,371.3035,1,2
20.517278479,383.7157,1,2
20.735232893,387.7919,1,2
22.084601813,413.0279,1,2
20.599852199999997,385.26,1,2
20.201709233,377.8139,1,2
21.468894762999998,401.5129,1,2
19.95789138,373.254,1,2
20.113173606999997,376.1581,1,2
20.074386469,375.4327,1,2
21.168297116999998,395.8911,1,2
18.97832098,354.934,1,2
21.074232693,394.1319,1,2
