weight_dvdl,dvdl,Run,Lambda
-0.8411085269999999,-35.6553,1,1
-0.9225412070000001,-39.1073,1,1
-0.7645731309999999,-32.4109,1,1
-0.9644771499999999,-40.885,1,1
-0.860912332,-36.4948,1,1
-0.99854111,-42.329,1,1
-0.868154462,-36.8018,1,1
-0.775016424,-32.8536,1,1
-0.939478827,-39.8253,1,1
-1.254393532,-53.1748,1,1
-0.9955994370000001,-42.2043,1,1
-0.8512876119999999,-36.0868,1,1
-0.953559698,-40.4222,1,1
-0.9430031729999999,-39.9747,1,1
-0.7689302039999999,-32.5956,1,1
-0.937079724,-39.7236,1,1
-0.7810578229999999,-33.1097,1,1
-1.176657405,-49.8795,1,1
-1.53365667,-65.013,1,1
-0.968291653,-41.0467,1,1
-1.0055379039999999,-42.6256,1,1
-0.8781353909999999,-37.2249,1,1
-0.82737207,-35.073,1,1
-1.2550092309999998,-53.2009,1,1
-1.076704216,-45.6424,1,1
-0.9069246270000001,-38.4453,1,1
-0.773617537,-32.7943,1,1
-1.264214049,-53.5911,1,1
-1.324333164,-56.1396,1,1
-0.893197606,-37.8634,1,1
-0.992249657,-42.0623,1,1
-0.849700005,-36.0195,1,1
-0.9737315069999999,-41.2773,1,1
-0.6916682359999999,-29.3204,1,1
-1.045381414,-44.3146,1,1
-1.056480509,-44.7851,1,1
-0.8851746469999999,-37.5233,1,1
-0.7794890879999999,-33.0432,1,1
-1.168474034,-49.5326,1,1
-0.75129432,-31.848,1,1
-1.034721093,-43.8627,1,1
-0.960598954,-40.7206,1,1
-0.8567510559999999,-36.3184,1,1
-0.969699976,-41.1064,1,1
-0.971374866,-41.1774,1,1
-0.9933465920000001,-42.1088,1,1
-0.9418213139999999,-39.9246,1,1
-1.0778129459999999,-45.6894,1,1
-1.027507271,-43.5569,1,1
-1.231480565,-52.2035,1,1
-0.813449252,-34.4828,1,1
-1.155105581,-48.9659,1,1
-0.730256758,-30.9562,1,1
-1.0726608899999999,-45.471,1,1
-0.998000899,-42.3061,1,1
-0.99028461,-41.979,1,1
-0.770185192,-32.6488,1,1
-1.019366362,-43.2118,1,1
