Lambda,dvdl,#Frame,D248_chi1,D248_chi2,V249_chi1,V249_chi2,N250_chi1,N250_chi2,T251_chi1,S272_chi1,S285_chi1,R286_chi1,R286_chi2,R286_chi3,R286_chi4,R286_chi5,S287_chi1,D290_chi1,D290_chi2,F291_chi1,F291_chi2,T292_chi1,weight_dvdl
1,-41.8176,1.0,-65.6608,123.2506,64.4128,120.0973,62.221,-48.404,-63.8206,-58.2319,-72.0512,-62.3298,-164.2696,-61.1635,147.6225,21.9163,71.6309,-166.8764,160.546,178.9705,-91.5215,54.4978,-0.986477184
1,-35.5131,2.0,-68.2056,119.2445,75.4828,125.9981,51.6344,-63.8686,-70.531,61.3662,-62.8929,-59.6084,179.2415,-41.799,151.8363,5.5639,63.9813,179.8609,-179.1761,-176.9963,-80.5931,52.0952,-0.8377540290000001
1,-30.096400000000003,3.0,-57.4579,147.4261,67.3824,126.1856,61.7195,-87.355,-51.5997,47.7479,-45.7753,-45.7819,176.1942,-68.8596,150.8054,-8.3151,55.3873,-163.9671,143.4505,-168.4305,-67.6667,60.2743,-0.7099740760000001
1,-39.8236,4.0,-78.5325,119.0479,58.4363,114.2798,49.2393,68.1872,-45.9191,59.3673,-65.6425,-50.5607,-167.4627,-56.8874,161.7043,-6.0133,60.2986,-157.6581,-175.2104,-157.2503,-87.0431,63.8732,-0.939438724
1,-46.3717,5.0,-63.8702,110.4517,60.6262,123.8866,42.9625,74.7482,-45.259,62.3234,-52.8794,-36.7496,-170.8014,-64.8783,156.1587,-0.6698,45.0217,179.3655,168.8448,-171.9813,-62.9509,52.0892,-1.093908403
1,-40.3541,6.0,-78.9194,177.143,54.7472,127.2856,66.0045,-16.7112,-71.5501,56.4689,-45.396,-51.8315,-170.1666,-49.0855,161.5963,-1.6879,65.9956,173.2087,-147.9276,178.6125,-60.456,59.6167,-0.9519532190000001
1,-45.69330000000001,7.0,-72.0911,107.9078,55.1081,130.3198,63.1923,35.8519,-74.0881,58.5172,-61.4485,-49.1595,-151.1485,-54.05,173.956,1.9308,69.695,-171.9073,-178.3624,173.8019,-78.9239,65.2046,-1.0779049470000002
1,-38.7255,8.0,-69.647,94.623,64.8204,125.3572,57.4861,10.2504,-66.4584,69.6809,-66.4907,-59.6719,178.6044,-35.9532,-179.778,5.8326,66.9292,179.8781,171.2832,-174.8818,-66.2113,58.6346,-0.9135345449999999
1,-40.3646,9.0,-62.4424,165.8698,74.236,132.8311,49.7707,-97.8234,-62.1011,67.5051,-68.3623,-43.7383,-166.0067,-60.9379,167.3688,12.1143,67.0269,-170.178,173.0143,171.0492,-82.5074,37.698,-0.9522009140000001
1,-30.838600000000003,10.0,-66.6687,122.7294,52.1593,122.0214,62.4663,-85.0662,-50.6285,53.9364,-54.0156,-70.3882,-161.9709,-51.2207,-168.359,-9.3354,60.6519,-159.3442,157.6814,177.8064,-80.0413,56.5151,-0.727482574
1,-23.9874,11.0,-87.7352,-157.5157,67.5428,131.7877,55.3267,-97.9819,-57.1619,49.8635,-84.4218,-61.367,-164.2783,-47.3938,161.3783,7.0398,53.301,-175.8412,164.9135,-166.9988,-62.5593,51.6375,-0.5658627660000001
1,-33.4127,12.0,-73.6501,165.0186,55.384,121.0001,58.4265,-90.5332,-65.1397,81.2254,-70.7193,-48.5276,-169.0552,-54.3667,-159.8389,-16.1641,73.246,-179.5067,174.6884,-158.825,-79.6086,72.4689,-0.788205593
1,-27.0563,13.0,-107.7918,22.0874,59.2763,124.217,68.3667,41.7526,-59.8071,56.2293,-62.7661,-52.7618,-177.1649,-50.1229,157.9191,13.0796,56.3353,-168.6172,169.1743,-164.3077,-78.6892,53.5464,-0.638258117
1,-46.8095,14.0,-78.5047,20.5717,49.694,121.7953,55.5662,44.6611,-56.429,61.9484,-66.4575,-69.3353,-134.6449,-55.1171,-167.5747,3.1474,55.4996,-150.3414,128.2992,178.2071,-75.1034,56.0567,-1.104236105
1,-34.3681,15.0,-80.4961,-9.5377,70.7068,128.9153,87.7593,-29.3811,-66.3301,64.9175,-71.1916,-38.849,-164.9087,-55.4741,148.8665,17.2154,55.8509,-165.0769,146.8607,175.4024,-101.9208,60.2897,-0.810743479
1,-30.5789,16.0,-80.0199,-44.106,61.6002,127.7466,38.1098,36.8979,-56.2234,49.4362,-67.2608,-46.9545,-178.214,-60.455,157.9245,-8.0754,54.0281,-164.1766,166.077,178.2887,-79.2263,62.6194,-0.721356251
1,-44.6976,17.0,-61.4589,0.3679,51.9125,123.1097,79.4903,-11.8266,-60.2478,65.113,-54.8731,-58.1133,-178.7523,-65.1551,-163.6096,-5.7408,68.0416,-166.8347,-168.7773,-167.4305,-78.3632,50.3971,-1.054416384
1,-32.8894,18.0,-77.2813,-58.6074,45.1928,125.6206,48.5733,-116.5945,-56.4074,62.2195,-58.8942,-55.3579,-150.0027,-51.7635,-174.9402,-11.6524,40.902,-169.1789,159.5256,175.8065,-61.6181,44.1782,-0.775860946
1,-44.3765,19.0,-98.6671,-11.4407,69.8461,125.2241,33.1639,-104.2803,-45.4113,57.7272,-62.4285,-57.2613,-165.095,-55.6409,162.7456,-6.1699,58.5646,-168.7141,174.5298,-162.0653,-76.015,52.4683,-1.046841635
1,-52.06380000000001,20.0,-69.1799,-23.551,74.6984,125.0901,44.6068,-106.0146,-59.4878,67.4822,-76.3857,-57.9743,-152.0861,-55.7151,-163.1442,-6.8208,54.4183,170.4886,-166.1849,174.0397,-66.0899,56.0005,-1.2281850420000002
1,-33.1026,21.0,-77.1823,-36.0346,56.8977,126.7331,69.1507,-94.2521,-59.2523,62.4975,-61.9661,-55.7234,-131.7575,-63.1361,-172.0943,-3.6219,62.9992,-176.6433,178.1795,158.0506,-81.5768,54.3424,-0.7808903340000001
1,-28.5584,22.0,-71.6255,-15.1883,69.3278,114.2647,67.0287,-94.9647,-61.0796,59.6957,-65.5435,-61.0966,-142.8766,-56.6193,-173.7522,6.1082,37.9357,-178.437,-176.777,177.4626,-95.8595,65.2756,-0.673692656
1,-44.056,23.0,-70.5374,-22.6061,49.9951,128.5823,64.5529,-79.6569,48.9425,50.1414,-65.1298,-52.8717,-162.0902,-41.3718,157.1335,7.5862,72.1609,-173.6011,-168.5559,175.3623,-73.7688,51.2365,-1.0392810399999999
1,-36.8075,24.0,-83.4017,9.0896,46.7313,122.4662,79.462,-111.5057,72.5524,71.1635,-51.7163,-44.9269,-177.6927,-55.7347,135.2329,9.8934,69.7322,-175.6331,-179.524,-179.331,-78.2627,48.3612,-0.868288925
1,-35.8787,25.0,-78.4312,-10.0306,68.7911,125.4135,40.8159,-92.5668,52.602,57.8096,-51.1642,-48.5936,-172.0421,-52.6148,162.6885,-10.6072,55.058,-165.8012,161.1927,-160.7528,-65.5584,56.0306,-0.846378533
